"Local.Date.and.Time","participant","trial","Emo","Response","onset_t","react_t","csum_t","t_s","t_m"
"17/10/2024 16:48:56","M29480",1,"frustrated",18,2808.89999999999,3457.50000000001,21040.8999993801,49,0.816666666666667
"17/10/2024 16:49:30","M29480",2,"bored",58,2792.3,3350.09999990463,24390.9999992848,83,1.38333333333333
"17/10/2024 16:49:33","M29480",2,"frustrated",23,2077.5,2542,26932.9999992848,86,1.43333333333333
"17/10/2024 16:49:34","M29480",2,"happy",52,1013.70000000001,1642.69999990464,28575.6999991894,87,1.45
"17/10/2024 16:50:10","M29480",3,"frustrated",25,3623.30000000002,4209.29999990464,32784.999999094,123,2.05
"17/10/2024 16:50:11","M29480",3,"happy",51,1013.60000000001,1557.99999995233,34342.9999990464,124,2.06666666666667
"17/10/2024 16:50:12","M29480",3,"bored",63,847.899999999994,1334.39999999999,35677.3999990464,125,2.08333333333333
"17/10/2024 16:50:50","M29480",4,"happy",48,5352,6663.19999990464,42340.599998951,163,2.71666666666667
"17/10/2024 16:50:52","M29480",4,"bored",69,1446.20000000001,2442.99999985695,44783.5999988079,165,2.75
"17/10/2024 16:50:56","M29480",4,"frustrated",29,2443.20000000001,3307.59999999998,48091.1999988079,169,2.81666666666667
"17/10/2024 16:51:31","M29480",5,"bored",63,3074.89999999999,3853.29999999999,51944.4999988079,204,3.4
